learning rate,network,eer
0.00001,wav2vec2-sv-aam,0.02605135925
0.00005,wav2vec2-sv-aam,0.02063610218
0.00009,wav2vec2-sv-aam,0.0221702382
0.0001,wav2vec2-sv-aam,0.02154026181
0.0002,wav2vec2-sv-aam,0.03840016946
0.0005,wav2vec2-sv-aam,0.5026879907
0.001,wav2vec2-sv-aam,0.5
0.00001,wav2vec2-sv-ce,0.03126163036
0.00005,wav2vec2-sv-ce,0.02185124159
0.00009,wav2vec2-sv-ce,0.02090203203
0.0001,wav2vec2-sv-ce,0.02180619165
0.0002,wav2vec2-sv-ce,0.04387830943
0.0005,wav2vec2-sv-ce,0.5
0.001,wav2vec2-sv-ce,0.5
0.00003,wav2vec2-sv-bce,0.07767558098
0.00002,wav2vec2-sv-bce,0.08068290353
0.00004,wav2vec2-sv-bce,0.08117688447
0.00001,wav2vec2-sv-bce,0.0848563239
0.000009,wav2vec2-sv-bce,0.08623531461
0.000007,wav2vec2-sv-bce,0.08908626437
0.000005,wav2vec2-sv-bce,0.09471081942
0.0001,wav2vec2-sv-bce,0.5001855493
0.00001,wav2vec2-sv-ctc,0.2
0.00005,wav2vec2-sv-ctc,0.5
0.0001,wav2vec2-sv-ctc,0.5
0.0002,wav2vec2-sv-ctc,0.5
0.0003,wav2vec2-sv-ctc,0.5
0.0004,wav2vec2-sv-ctc,0.5
0.0005,wav2vec2-sv-ctc,0.5
0.001,ecapa,0.1084459126
0.005,ecapa,0.1220160574
0.0009,ecapa,0.113722153
0.0007,ecapa,0.1097346991
0.000005,ecapa,0.1525865346
0.0001,ecapa,0.1180286035
0.00001,ecapa,0.1362621039
0.0005,ecapa,0.1127120033
0.0004,xvector,0.09578768164
0.0003,xvector,0.09685140103
0.0008,xvector,0.09695777297
0.001,xvector,0.09717051685
0.0002,xvector,0.09988299012
0.0001,xvector,0.1024509519
0.00006,xvector,0.1059599146
0.00001,xvector,0.1311030686